date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-01-23,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-01-24,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-01-25,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-01-26,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-01-27,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-01-28,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-01-29,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-01-30,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-01-31,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-02-01,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-02-02,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-02-03,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
2020-02-04,us,pennsylvania,40.70497338,-76.2150785,84042107.0,US,USA,840,42107.0,schuylkill,"Schuylkill, Pennsylvania, US",0,0,0,0
