date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-01-23,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-01-24,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-01-25,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-01-26,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-01-27,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-01-28,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-01-29,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-01-30,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-01-31,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-01,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-02,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-03,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-04,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-05,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-06,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-07,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-08,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-09,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-10,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-11,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-12,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-13,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-14,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-15,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-16,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-17,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-18,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-19,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-20,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-21,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-22,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-23,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-24,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-25,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-26,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-27,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-28,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-02-29,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-03-01,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
2020-03-02,us,nebraska,41.11314181,-96.11156432,84031153,US,USA,840,31153.0,sarpy,"Sarpy, Nebraska, US",0,0,0,0
