date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-01-23,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-01-24,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-01-25,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-01-26,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-01-27,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-01-28,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-01-29,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-01-30,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-01-31,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-02-01,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-02-02,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-02-03,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-02-04,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
2020-02-05,US,Washington,48.14713305,-122.5216407,84053029.0,US,USA,840,53029.0,Island,"Island, Washington, US",0,0,0,0
