date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-01-23,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-01-24,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-01-25,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-01-26,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-01-27,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-01-28,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-01-29,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-01-30,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-01-31,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-01,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-02,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-03,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-04,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-05,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-06,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-07,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-08,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-09,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-10,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-11,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-12,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-13,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-14,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-15,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-16,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-17,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-18,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-19,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-20,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-21,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-22,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-23,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-24,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-25,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-26,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-27,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-28,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-02-29,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-03-01,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-03-02,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-03-03,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-03-04,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-03-05,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-03-06,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-03-07,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-03-08,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
2020-03-09,US,Tennessee,36.51240691,-82.30412917,84047163,US,USA,840,47163.0,Sullivan,"Sullivan, Tennessee, US",0,0,0.0,0.0
