date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-01-23,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-01-24,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-01-25,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-01-26,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-01-27,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-01-28,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-01-29,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-01-30,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-01-31,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-01,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-02,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-03,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-04,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-05,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-06,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-07,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-08,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-09,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-10,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-11,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-12,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-13,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-14,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-15,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-16,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-17,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-18,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-19,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
2020-02-20,us,colorado,39.62754308,-106.6933637,84008037,US,USA,840,8037.0,eagle,"Eagle, Colorado, US",0,0,0,0
