date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-01-23,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-01-24,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-01-25,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-01-26,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-01-27,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-01-28,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-01-29,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-01-30,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-01-31,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-02-01,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-02-02,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-02-03,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-02-04,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-02-05,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-02-06,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
2020-02-07,US,North Carolina,34.64244496,-79.10250529999998,84037155.0,US,USA,840,37155.0,Robeson,"Robeson, North Carolina, US",0,0,0,0
