date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-01-23,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-01-24,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-01-25,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-01-26,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-01-27,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-01-28,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-01-29,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-01-30,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-01-31,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-02-01,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-02-02,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-02-03,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-02-04,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-02-05,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-02-06,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-02-07,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
2020-02-08,US,Texas,30.30079133,-95.50572772,84048339.0,US,USA,840,48339.0,Montgomery,"Montgomery, Texas, US",0,0,0,0
